year,state,month,number,date
2001,Bahia,Mar�o,4,2001-03-01
2001,Bahia,Abril,26,2001-04-01
2001,Bahia,Maio,85,2001-05-01
2001,Bahia,Junho,98,2001-06-01
2001,Bahia,Julho,248,2001-07-01
2001,Bahia,Agosto,979,2001-08-01
2001,Bahia,Setembro,3964,2001-09-01
2001,Bahia,Outubro,1687,2001-10-01
2001,Bahia,Novembro,699,2001-11-01
2001,Bahia,Dezembro,158,2001-12-01
2001,Ceara,Janeiro,11,2001-01-01
2001,Ceara,Fevereiro,0,2001-02-01
2001,Ceara,Mar�o,0,2001-03-01
2001,Ceara,Abril,2,2001-04-01
2001,Ceara,Maio,81,2001-05-01
2001,Ceara,Junho,38,2001-06-01
2001,Ceara,Julho,146,2001-07-01
2001,Ceara,Agosto,219,2001-08-01
2001,Ceara,Setembro,801,2001-09-01
2001,Ceara,Outubro,2045,2001-10-01
2001,Ceara,Novembro,2456,2001-11-01
2001,Ceara,Dezembro,545,2001-12-01
2001,Maranhao,Janeiro,29,2001-01-01
2001,Maranhao,Fevereiro,1,2001-02-01
2001,Maranhao,Mar�o,0,2001-03-01
2001,Maranhao,Abril,2,2001-04-01
2001,Maranhao,Maio,21,2001-05-01
2001,Maranhao,Junho,100,2001-06-01
2001,Maranhao,Julho,549,2001-07-01
2001,Maranhao,Agosto,2037,2001-08-01
2001,Maranhao,Setembro,4618,2001-09-01
2001,Maranhao,Outubro,6661,2001-10-01
2001,Maranhao,Novembro,3525,2001-11-01
2001,Maranhao,Dezembro,1296,2001-12-01
2001,Paraiba,Janeiro,11,2001-01-01
2001,Paraiba,Fevereiro,6,2001-02-01
2001,Paraiba,Mar�o,0,2001-03-01
2001,Paraiba,Abril,0,2001-04-01
2001,Paraiba,Maio,4,2001-05-01
2001,Paraiba,Junho,0,2001-06-01
2001,Paraiba,Julho,8,2001-07-01
2001,Paraiba,Agosto,34,2001-08-01
2001,Paraiba,Setembro,98,2001-09-01
2001,Paraiba,Outubro,279,2001-10-01
2001,Paraiba,Novembro,294,2001-11-01
2001,Paraiba,Dezembro,70,2001-12-01
2001,Pernambuco,Janeiro,7,2001-01-01
2001,Pernambuco,Fevereiro,2,2001-02-01
2001,Pernambuco,Mar�o,0,2001-03-01
2001,Pernambuco,Abril,2,2001-04-01
2001,Pernambuco,Maio,5,2001-05-01
2001,Pernambuco,Junho,2,2001-06-01
2001,Pernambuco,Julho,6,2001-07-01
2001,Pernambuco,Agosto,27,2001-08-01
2001,Pernambuco,Setembro,298,2001-09-01
2001,Pernambuco,Outubro,461,2001-10-01
2001,Pernambuco,Novembro,208,2001-11-01
2001,Pernambuco,Dezembro,62,2001-12-01
2001,Piaui,Janeiro,29,2001-01-01
2001,Piaui,Fevereiro,0,2001-02-01
2001,Piaui,Mar�o,2,2001-03-01
2001,Piaui,Abril,1,2001-04-01
2001,Piaui,Maio,36,2001-05-01
2001,Piaui,Junho,87,2001-06-01
2001,Piaui,Julho,337,2001-07-01
2001,Piaui,Agosto,1133,2001-08-01
2001,Piaui,Setembro,2401,2001-09-01
2001,Piaui,Outubro,3742,2001-10-01
2001,Piaui,Novembro,1484,2001-11-01
2001,Piaui,Dezembro,230,2001-12-01
2001,Sergipe,Janeiro,2,2001-01-01
2001,Sergipe,Fevereiro,2,2001-02-01
2001,Sergipe,Mar�o,1,2001-03-01
2001,Sergipe,Abril,0,2001-04-01
2001,Sergipe,Maio,3,2001-05-01
2001,Sergipe,Junho,0,2001-06-01
2001,Sergipe,Julho,0,2001-07-01
2001,Sergipe,Agosto,0,2001-08-01
2001,Sergipe,Setembro,1,2001-09-01
2001,Sergipe,Outubro,5,2001-10-01
2001,Sergipe,Novembro,5,2001-11-01
2001,Sergipe,Dezembro,5,2001-12-01
2002,Alagoas,Janeiro,12,2002-01-01
2002,Alagoas,Fevereiro,15,2002-02-01
2002,Alagoas,Mar�o,27,2002-03-01
2002,Alagoas,Abril,6,2002-04-01
2002,Alagoas,Maio,1,2002-05-01
2002,Alagoas,Junho,0,2002-06-01
2002,Alagoas,Julho,5,2002-07-01
2002,Alagoas,Agosto,3,2002-08-01
2002,Alagoas,Setembro,14,2002-09-01
2002,Alagoas,Outubro,30,2002-10-01
2002,Alagoas,Novembro,50,2002-11-01
2002,Alagoas,Dezembro,95,2002-12-01
2002,Bahia,Janeiro,125,2002-01-01
2002,Bahia,Fevereiro,204,2002-02-01
2002,Bahia,Mar�o,146,2002-03-01
2002,Bahia,Abril,110,2002-04-01
2002,Bahia,Maio,166,2002-05-01
2002,Bahia,Junho,118,2002-06-01
2002,Bahia,Julho,549,2002-07-01
2002,Bahia,Agosto,1827,2002-08-01
2002,Bahia,Setembro,6439,2002-09-01
2002,Bahia,Outubro,5414,2002-10-01
2002,Bahia,Novembro,1.02,2002-11-01
2002,Bahia,Dezembro,848,2002-12-01
2002,Ceara,Janeiro,33,2002-01-01
2002,Ceara,Fevereiro,75,2002-02-01
2002,Ceara,Mar�o,17,2002-03-01
2002,Ceara,Abril,5,2002-04-01
2002,Ceara,Maio,10,2002-05-01
2002,Ceara,Junho,13,2002-06-01
2002,Ceara,Julho,12,2002-07-01
2002,Ceara,Agosto,111,2002-08-01
2002,Ceara,Setembro,172,2002-09-01
2002,Ceara,Outubro,1606,2002-10-01
2002,Ceara,Novembro,2715,2002-11-01
2002,Ceara,Dezembro,1787,2002-12-01
2002,Maranhao,Janeiro,48,2002-01-01
2002,Maranhao,Fevereiro,116,2002-02-01
2002,Maranhao,Mar�o,16,2002-03-01
2002,Maranhao,Abril,28,2002-04-01
2002,Maranhao,Maio,71,2002-05-01
2002,Maranhao,Junho,230,2002-06-01
2002,Maranhao,Julho,1271,2002-07-01
2002,Maranhao,Agosto,3481,2002-08-01
2002,Maranhao,Setembro,3181,2002-09-01
2002,Maranhao,Outubro,5182,2002-10-01
2002,Maranhao,Novembro,5.83,2002-11-01
2002,Maranhao,Dezembro,2165,2002-12-01
2002,Paraiba,Janeiro,5,2002-01-01
2002,Paraiba,Fevereiro,18,2002-02-01
2002,Paraiba,Mar�o,3,2002-03-01
2002,Paraiba,Abril,1,2002-04-01
2002,Paraiba,Maio,1,2002-05-01
2002,Paraiba,Junho,1,2002-06-01
2002,Paraiba,Julho,8,2002-07-01
2002,Paraiba,Agosto,38,2002-08-01
2002,Paraiba,Setembro,63,2002-09-01
2002,Paraiba,Outubro,193,2002-10-01
2002,Paraiba,Novembro,238,2002-11-01
2002,Paraiba,Dezembro,163,2002-12-01
2002,Pernambuco,Janeiro,10,2002-01-01
2002,Pernambuco,Fevereiro,19,2002-02-01
2002,Pernambuco,Mar�o,24,2002-03-01
2002,Pernambuco,Abril,5,2002-04-01
2002,Pernambuco,Maio,13,2002-05-01
2002,Pernambuco,Junho,1,2002-06-01
2002,Pernambuco,Julho,8,2002-07-01
2002,Pernambuco,Agosto,37,2002-08-01
2002,Pernambuco,Setembro,374,2002-09-01
2002,Pernambuco,Outubro,638,2002-10-01
2002,Pernambuco,Novembro,521,2002-11-01
2002,Pernambuco,Dezembro,259,2002-12-01
2002,Piaui,Janeiro,33,2002-01-01
2002,Piaui,Fevereiro,160,2002-02-01
2002,Piaui,Mar�o,63,2002-03-01
2002,Piaui,Abril,87,2002-04-01
2002,Piaui,Maio,84,2002-05-01
2002,Piaui,Junho,161,2002-06-01
2002,Piaui,Julho,534,2002-07-01
2002,Piaui,Agosto,2.28,2002-08-01
2002,Piaui,Setembro,2475,2002-09-01
2002,Piaui,Outubro,2757,2002-10-01
2002,Piaui,Novembro,1174,2002-11-01
2002,Piaui,Dezembro,373,2002-12-01
2002,Sergipe,Janeiro,1,2002-01-01
2002,Sergipe,Fevereiro,6,2002-02-01
2002,Sergipe,Mar�o,7,2002-03-01
2002,Sergipe,Abril,12,2002-04-01
2002,Sergipe,Maio,0,2002-05-01
2002,Sergipe,Junho,0,2002-06-01
2002,Sergipe,Julho,0,2002-07-01
2002,Sergipe,Agosto,2,2002-08-01
2002,Sergipe,Setembro,0,2002-09-01
2002,Sergipe,Outubro,20,2002-10-01
2002,Sergipe,Novembro,57,2002-11-01
2002,Sergipe,Dezembro,103,2002-12-01
2003,Alagoas,Janeiro,150,2003-01-01
2003,Alagoas,Fevereiro,33,2003-02-01
2003,Alagoas,Mar�o,15,2003-03-01
2003,Alagoas,Abril,20,2003-04-01
2003,Alagoas,Maio,1,2003-05-01
2003,Alagoas,Junho,0,2003-06-01
2003,Alagoas,Julho,0,2003-07-01
2003,Alagoas,Agosto,2,2003-08-01
2003,Alagoas,Setembro,8,2003-09-01
2003,Alagoas,Outubro,10,2003-10-01
2003,Alagoas,Novembro,17,2003-11-01
2003,Alagoas,Dezembro,43,2003-12-01
2003,Bahia,Janeiro,439,2003-01-01
2003,Bahia,Fevereiro,223,2003-02-01
2003,Bahia,Mar�o,274,2003-03-01
2003,Bahia,Abril,376,2003-04-01
2003,Bahia,Maio,106,2003-05-01
2003,Bahia,Junho,140,2003-06-01
